status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
kein Konto,21,existing credits paid back duly till now,car (used),26832.597925177546,unbekannt,1 <= ... < 4 years,1,male : single,none,3,car or other,26,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,15,existing credits paid back duly till now,car (used),15487.031081433459,< 580 €,4 <= ... < 7 years,2,male : single,none,2,car or other,33,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,6,existing credits paid back duly till now,radio/television,2188.3292515198154,< 580 €,... >= 7 years,2,female : divorced/separated/married,none,1,building society savings agreement/life insurance,49,bank,own,1,skilled employee/official,1,yes,yes,1
< 580 €,18,existing credits paid back duly till now,car (new),4990.208760475092,< 580 €,... < 1 year,1,female : divorced/separated/married,none,2,car or other,23,none,own,1,unskilled - resident,1,no,yes,0
580 € - 2900 €,12,existing credits paid back duly till now,others,4299.964720860197,580 € - 2900 €,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,no,yes,1
kein Konto,30,critical account/other credits existing,domestic appliances,29506.65446383377,< 580 €,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,car or other,25,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,12,delay in paying off in the past,education,7950.5887526011975,>= 5000 €,... >= 7 years,4,male : single,none,4,unknown/no property,55,none,for free,2,skilled employee/official,2,no,yes,0
< 580 €,24,existing credits paid back duly till now,car (new),6570.1006733714075,unbekannt,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,unknown/no property,32,none,rent,1,skilled employee/official,1,no,yes,0
>= 2900 € / Gehalt seit 1 Jahr,6,critical account/other credits existing,car (new),6641.681536738878,< 580 €,1 <= ... < 4 years,1,male : single,none,1,real estate,74,none,own,3,unemployed/unskilled - non-resident,2,no,no,1
>= 2900 € / Gehalt seit 1 Jahr,15,critical account/other credits existing,domestic appliances,6498.519810003937,unbekannt,1 <= ... < 4 years,3,male : single,none,4,unknown/no property,39,none,for free,2,skilled employee/official,1,yes,yes,0
kein Konto,24,existing credits paid back duly till now,car (new),7122.2959050633235,< 580 €,1 <= ... < 4 years,2,male : single,guarantor,2,real estate,31,none,own,1,skilled employee/official,1,yes,yes,1
< 580 €,12,critical account/other credits existing,car (new),3533.0268990658697,< 580 €,... >= 7 years,4,male : single,none,3,building society savings agreement/life insurance,35,none,own,2,skilled employee/official,1,no,yes,0
kein Konto,15,critical account/other credits existing,car (new),25794.675406349226,unbekannt,... >= 7 years,1,female : divorced/separated/married,none,4,car or other,59,none,own,1,skilled employee/official,1,yes,yes,1
< 580 €,18,critical account/other credits existing,radio/television,10859.83955660768,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,24,none,rent,2,skilled employee/official,1,no,yes,0
< 580 €,12,existing credits paid back duly till now,domestic appliances,11320.002249684278,< 580 €,1 <= ... < 4 years,4,male : single,none,3,building society savings agreement/life insurance,24,none,own,1,unskilled - resident,1,no,yes,1
kein Konto,21,critical account/other credits existing,car (new),64831.8105356805,unbekannt,... >= 7 years,4,male : single,none,4,unknown/no property,30,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
kein Konto,24,critical account/other credits existing,car (new),12593.11903386286,580 € - 2900 €,4 <= ... < 7 years,4,male : married/widowed,none,3,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,yes,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,domestic appliances,5905.421227816323,< 580 €,... >= 7 years,3,male : married/widowed,guarantor,3,real estate,40,bank,own,2,unskilled - resident,1,no,yes,1
< 580 €,30,existing credits paid back duly till now,radio/television,15890.951667578469,< 580 €,... < 1 year,2,male : divorced/separated,none,4,building society savings agreement/life insurance,31,none,own,1,unskilled - resident,1,no,yes,0
kein Konto,10,existing credits paid back duly till now,car (used),14832.577473502299,unbekannt,... < 1 year,1,female : divorced/separated/married,none,4,real estate,31,none,rent,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,12,critical account/other credits existing,radio/television,18493.427342867224,< 580 €,... >= 7 years,1,male : single,none,4,car or other,28,none,rent,3,skilled employee/official,1,yes,yes,1
kein Konto,12,critical account/other credits existing,domestic appliances,8461.880633797417,< 580 €,... >= 7 years,2,male : single,none,4,real estate,63,none,own,2,unskilled - resident,1,yes,yes,1
< 580 €,24,existing credits paid back duly till now,car (used),14377.527699237664,unbekannt,... >= 7 years,2,female : divorced/separated/married,none,4,real estate,26,none,rent,1,skilled employee/official,1,no,yes,1
< 580 €,36,critical account/other credits existing,retraining,41235.69021847502,< 580 €,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,unknown/no property,25,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0
kein Konto,21,critical account/other credits existing,car (used),16744.809109176156,< 580 €,... >= 7 years,1,male : single,none,4,car or other,36,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
kein Konto,24,critical account/other credits existing,domestic appliances,11366.018518991936,580 € - 2900 €,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,52,bank,own,2,skilled employee/official,1,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,12,critical account/other credits existing,car (new),7567.119841704034,2800 € - 5000 €,unemployed,2,male : single,none,4,unknown/no property,66,bank,for free,3,unemployed/unskilled - non-resident,1,no,yes,1
< 580 €,24,existing credits paid back duly till now,car (new),7009.811691200156,unbekannt,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,25,none,rent,1,skilled employee/official,1,no,yes,0
kein Konto,36,critical account/other credits existing,car (new),18074.168000286325,< 580 €,4 <= ... < 7 years,4,male : single,none,4,car or other,37,none,own,2,skilled employee/official,1,yes,yes,1
< 580 €,18,existing credits paid back duly till now,domestic appliances,17941.232111175308,< 580 €,4 <= ... < 7 years,4,female : divorced/separated/married,guarantor,1,real estate,25,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,36,critical account/other credits existing,car (used),29199.87933511604,>= 5000 €,... >= 7 years,4,male : single,none,2,car or other,38,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,18,existing credits paid back duly till now,education,19797.22163991758,< 580 €,unemployed,2,female : divorced/separated/married,none,4,car or other,67,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,39,critical account/other credits existing,domestic appliances,25222.028499409458,< 580 €,4 <= ... < 7 years,2,male : single,guarantor,2,real estate,25,none,own,2,skilled employee/official,1,no,yes,0
kein Konto,24,critical account/other credits existing,car (new),9919.06249520664,>= 5000 €,... >= 7 years,4,male : single,none,4,real estate,60,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,12,no credits taken/all credits paid back duly,business,7209.215524866681,< 580 €,1 <= ... < 4 years,2,male : single,none,2,real estate,31,none,own,1,unskilled - resident,1,yes,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,car (new),4274.400126800387,580 € - 2900 €,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,bank,own,1,unskilled - resident,1,no,yes,0
580 € - 2900 €,20,existing credits paid back duly till now,car (used),33070.35887577141,unbekannt,unemployed,1,male : divorced/separated,none,4,real estate,60,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,18,existing credits paid back duly till now,others,9924.175414018602,>= 5000 €,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,35,none,own,1,unskilled - resident,1,yes,yes,1
kein Konto,22,existing credits paid back duly till now,domestic appliances,13677.057821998844,2800 € - 5000 €,... >= 7 years,3,male : single,none,4,car or other,40,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,48,critical account/other credits existing,car (used),14065.63965170797,unbekannt,... >= 7 years,4,male : single,none,3,car or other,38,none,own,2,skilled employee/official,2,yes,yes,1
580 € - 2900 €,48,delay in paying off in the past,retraining,31822.806685652642,< 580 €,... >= 7 years,4,male : single,none,4,unknown/no property,50,none,for free,1,skilled employee/official,1,no,yes,0
< 580 €,40,critical account/other credits existing,retraining,30667.287034149187,< 580 €,1 <= ... < 4 years,4,male : single,none,3,unknown/no property,27,bank,own,1,skilled employee/official,1,yes,yes,0
580 € - 2900 €,21,existing credits paid back duly till now,others,6074.147548611076,< 580 €,... >= 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,39,none,own,1,skilled employee/official,2,no,yes,0
kein Konto,24,existing credits paid back duly till now,car (used),32277.856459917275,unbekannt,... >= 7 years,3,male : single,none,4,car or other,41,none,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,1
kein Konto,6,critical account/other credits existing,radio/television,6242.873869405828,unbekannt,1 <= ... < 4 years,1,male : married/widowed,none,2,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,24,existing credits paid back duly till now,radio/television,14786.561204194639,< 580 €,... >= 7 years,3,male : divorced/separated,none,4,unknown/no property,51,none,for free,1,skilled employee/official,1,no,yes,1
kein Konto,24,existing credits paid back duly till now,radio/television,15655.75740222821,2800 € - 5000 €,... >= 7 years,4,male : single,none,3,unknown/no property,32,none,rent,1,skilled employee/official,1,yes,yes,1
kein Konto,9,existing credits paid back duly till now,radio/television,11764.826186324988,580 € - 2900 €,... < 1 year,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,22,none,rent,1,skilled employee/official,1,no,yes,1
< 580 €,18,existing credits paid back duly till now,car (used),38403.13319664797,unbekannt,... >= 7 years,1,male : single,none,4,building society savings agreement/life insurance,51,none,for free,1,skilled employee/official,2,yes,yes,0
kein Konto,12,critical account/other credits existing,radio/television,6432.0518654484285,< 580 €,... < 1 year,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,22,none,rent,2,unskilled - resident,1,no,yes,1
kein Konto,24,delay in paying off in the past,car (new),3665.9627881768865,unbekannt,... >= 7 years,4,male : married/widowed,none,4,car or other,54,none,own,2,skilled employee/official,1,yes,yes,1
580 € - 2900 €,9,existing credits paid back duly till now,car (new),7919.911239729425,unbekannt,... < 1 year,4,male : single,none,2,real estate,35,none,own,1,unemployed/unskilled - non-resident,1,no,yes,1
kein Konto,24,critical account/other credits existing,retraining,8165.33134270361,< 580 €,... >= 7 years,4,male : single,none,4,unknown/no property,54,none,for free,2,skilled employee/official,2,no,yes,1
580 € - 2900 €,18,critical account/other credits existing,domestic appliances,9177.689267472122,< 580 €,... >= 7 years,3,female : divorced/separated/married,guarantor,4,real estate,48,bank,rent,2,unskilled - resident,1,yes,yes,1
< 580 €,20,critical account/other credits existing,radio/television,21842.389164702454,< 580 €,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,12,critical account/other credits existing,domestic appliances,4990.208760475092,unbekannt,... >= 7 years,4,male : single,none,4,car or other,35,none,own,2,skilled employee/official,1,no,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,car (new),38203.729362981445,unbekannt,unemployed,1,female : divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed/unskilled - non-resident,1,no,yes,1
< 580 €,36,existing credits paid back duly till now,car (new),47401.87030570141,< 580 €,4 <= ... < 7 years,2,male : single,none,1,car or other,24,none,own,1,skilled employee/official,1,yes,yes,0
580 € - 2900 €,6,existing credits paid back duly till now,domestic appliances,3016.6220990576894,< 580 €,... < 1 year,3,male : married/widowed,none,3,real estate,26,none,own,1,unskilled - resident,1,no,no,1
kein Konto,12,critical account/other credits existing,domestic appliances,4755.014495124832,unbekannt,... >= 7 years,4,male : single,none,4,real estate,65,none,own,4,skilled employee/official,1,no,yes,1
580 € - 2900 €,42,all credits at this bank paid back duly,car (used),47463.22533144496,< 580 €,unemployed,1,male : single,none,2,unknown/no property,55,bank,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,15,no credits taken/all credits paid back duly,car (new),9090.769647668765,< 580 €,... < 1 year,2,female : divorced/separated/married,none,1,real estate,26,none,rent,2,unemployed/unskilled - non-resident,1,no,yes,0
580 € - 2900 €,8,existing credits paid back duly till now,others,4637.417362449702,< 580 €,... < 1 year,3,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,6,existing credits paid back duly till now,domestic appliances,2474.6527049896977,< 580 €,4 <= ... < 7 years,3,male : married/widowed,guarantor,3,real estate,28,bank,own,1,unskilled - resident,1,no,yes,1
< 580 €,36,critical account/other credits existing,car (used),49232.295240383886,< 580 €,4 <= ... < 7 years,4,male : single,none,4,car or other,24,none,own,2,skilled employee/official,1,yes,yes,0
< 580 €,48,existing credits paid back duly till now,repairs,15599.515295296625,< 580 €,1 <= ... < 4 years,3,male : single,none,4,car or other,54,none,own,1,skilled employee/official,1,no,yes,0
< 580 €,48,existing credits paid back duly till now,car (new),20098.88384982335,< 580 €,4 <= ... < 7 years,4,male : single,none,4,unknown/no property,46,none,for free,1,skilled employee/official,2,no,yes,0
580 € - 2900 €,36,delay in paying off in the past,car (new),37999.21261050296,< 580 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,building society savings agreement/life insurance,54,none,rent,1,skilled employee/official,1,no,yes,1
kein Konto,6,existing credits paid back duly till now,repairs,6841.085370405403,2800 € - 5000 €,1 <= ... < 4 years,1,male : divorced/separated,none,4,real estate,62,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,6,critical account/other credits existing,domestic appliances,7945.4758337892345,< 580 €,4 <= ... < 7 years,1,female : divorced/separated/married,none,2,car or other,24,none,rent,2,skilled employee/official,1,yes,yes,1
< 580 €,36,existing credits paid back duly till now,furniture/equipment,81075.55360128437,< 580 €,unemployed,2,male : divorced/separated,co-applicant,3,car or other,43,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1
< 580 €,18,existing credits paid back duly till now,domestic appliances,6876.875802089139,< 580 €,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,26,bank,own,1,skilled employee/official,1,no,yes,0
kein Konto,12,existing credits paid back duly till now,car (new),5629.323611970366,< 580 €,1 <= ... < 4 years,3,male : married/widowed,none,2,real estate,27,none,own,2,skilled employee/official,1,yes,yes,1
>= 2900 € / Gehalt seit 1 Jahr,12,existing credits paid back duly till now,domestic appliances,15420.56313687795,< 580 €,1 <= ... < 4 years,3,male : married/widowed,none,1,car or other,24,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,36,existing credits paid back duly till now,radio/television,13866.235818041445,< 580 €,... >= 7 years,2,male : single,none,2,building society savings agreement/life insurance,41,bank,own,1,skilled employee/official,2,no,yes,0
< 580 €,8,critical account/other credits existing,car (new),3737.543651544357,< 580 €,... >= 7 years,4,male : single,none,4,real estate,47,none,own,2,unskilled - resident,1,no,yes,1
kein Konto,18,critical account/other credits existing,radio/television,19326.83310921706,< 580 €,... < 1 year,3,male : divorced/separated,none,2,car or other,35,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
< 580 €,21,critical account/other credits existing,car (new),8190.89593676342,< 580 €,... >= 7 years,4,male : married/widowed,none,3,car or other,30,none,own,2,skilled employee/official,1,yes,yes,1
< 580 €,18,critical account/other credits existing,car (new),20277.836008242026,< 580 €,... >= 7 years,1,female : divorced/separated/married,none,4,real estate,33,bank,rent,3,skilled employee/official,1,yes,yes,0
kein Konto,18,no credits taken/all credits paid back duly,others,21295.3068518225,< 580 €,1 <= ... < 4 years,2,male : single,none,2,car or other,36,stores,own,2,skilled employee/official,2,no,yes,0
< 580 €,36,existing credits paid back duly till now,car (used),42616.17829770481,unbekannt,... >= 7 years,3,male : single,none,4,unknown/no property,47,none,for free,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,48,delay in paying off in the past,others,34159.410582719356,unbekannt,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,38,none,for free,1,skilled employee/official,2,yes,yes,1
kein Konto,24,delay in paying off in the past,others,12143.182178410188,2800 € - 5000 €,1 <= ... < 4 years,4,male : single,none,2,car or other,44,none,own,2,skilled employee/official,2,yes,yes,1
< 580 €,18,existing credits paid back duly till now,car (new),6217.309275346017,< 580 €,... < 1 year,4,female : divorced/separated/married,none,3,car or other,23,none,rent,1,skilled employee/official,1,yes,yes,0
< 580 €,45,no credits taken/all credits paid back duly,others,60414.24868214518,< 580 €,... >= 7 years,2,male : single,none,4,car or other,29,none,rent,2,skilled employee/official,1,no,yes,0
580 € - 2900 €,24,existing credits paid back duly till now,domestic appliances,25994.079240015748,unbekannt,... >= 7 years,2,female : divorced/separated/married,none,4,car or other,42,none,own,1,skilled employee/official,1,yes,yes,1
>= 2900 € / Gehalt seit 1 Jahr,15,existing credits paid back duly till now,domestic appliances,11897.762075436005,< 580 €,... < 1 year,2,female : divorced/separated/married,none,3,real estate,25,none,own,1,unskilled - resident,1,no,yes,0
< 580 €,12,no credits taken/all credits paid back duly,car (new),5532.178154543084,< 580 €,1 <= ... < 4 years,4,male : single,none,4,car or other,48,bank,own,2,skilled employee/official,1,no,yes,0
kein Konto,12,existing credits paid back duly till now,domestic appliances,4530.046067398496,unbekannt,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,21,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,4,existing credits paid back duly till now,radio/television,3072.8642059892727,< 580 €,... < 1 year,1,female : divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled - resident,2,no,yes,1
< 580 €,24,critical account/other credits existing,car (used),15118.900926972181,< 580 €,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,63,none,own,2,skilled employee/official,1,yes,yes,1
kein Konto,24,critical account/other credits existing,domestic appliances,13349.831018033265,< 580 €,... >= 7 years,4,male : married/widowed,co-applicant,3,real estate,46,none,own,2,skilled employee/official,1,no,yes,1
< 580 €,36,existing credits paid back duly till now,radio/television,26479.806527152155,< 580 €,4 <= ... < 7 years,4,male : single,none,2,building society savings agreement/life insurance,29,none,own,1,skilled employee/official,1,no,yes,0
kein Konto,21,delay in paying off in the past,car (used),15302.966004202819,< 580 €,1 <= ... < 4 years,3,male : single,none,2,real estate,28,stores,own,2,unskilled - resident,1,no,yes,1
kein Konto,18,existing credits paid back duly till now,education,9934.401251642525,< 580 €,... < 1 year,4,female : divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee/official,1,no,yes,0
kein Konto,24,all credits at this bank paid back duly,others,7971.040427849047,< 580 €,4 <= ... < 7 years,4,male : single,none,4,car or other,50,bank,own,1,skilled employee/official,1,yes,yes,1
kein Konto,18,existing credits paid back duly till now,radio/television,17496.408174534597,< 580 €,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,47,bank,own,3,skilled employee/official,2,yes,yes,1
580 € - 2900 €,21,existing credits paid back duly till now,radio/television,20328.96519636165,unbekannt,4 <= ... < 7 years,2,male : single,none,3,car or other,35,none,own,1,skilled employee/official,1,yes,yes,1
kein Konto,18,existing credits paid back duly till now,car (new),34568.44408767633,unbekannt,1 <= ... < 4 years,2,male : single,none,4,car or other,68,none,rent,2,skilled employee/official,1,no,yes,0
kein Konto,24,existing credits paid back duly till now,car (new),6386.035596140769,< 580 €,... < 1 year,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,9,existing credits paid back duly till now,domestic appliances,6974.02125951642,< 580 €,4 <= ... < 7 years,3,male : single,none,4,real estate,59,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,12,existing credits paid back duly till now,domestic appliances,3625.059437681189,< 580 €,... >= 7 years,4,male : single,none,4,real estate,57,stores,own,1,unskilled - resident,1,no,yes,0
< 580 €,20,critical account/other credits existing,car (new),11427.373544735483,< 580 €,1 <= ... < 4 years,4,male : married/widowed,guarantor,2,building society savings agreement/life insurance,33,bank,rent,2,skilled employee/official,1,no,no,0
kein Konto,24,critical account/other credits existing,car (used),20666.417837951154,unbekannt,4 <= ... < 7 years,3,male : single,none,4,building society savings agreement/life insurance,43,none,own,2,skilled employee/official,1,yes,yes,1
kein Konto,15,critical account/other credits existing,domestic appliances,7521.103572396374,< 580 €,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,35,none,for free,2,skilled employee/official,1,yes,yes,1
< 580 €,18,all credits at this bank paid back duly,car (new),7372.828926849471,< 580 €,4 <= ... < 7 years,4,male : single,none,4,unknown/no property,32,none,for free,2,unskilled - resident,2,no,yes,0
kein Konto,36,delay in paying off in the past,car (new),55602.99208008876,< 580 €,... >= 7 years,2,male : single,none,2,car or other,45,none,own,2,skilled employee/official,2,yes,yes,1
kein Konto,24,existing credits paid back duly till now,car (new),7536.442328832261,580 € - 2900 €,... < 1 year,4,male : married/widowed,none,3,real estate,33,none,own,1,skilled employee/official,1,yes,yes,1
kein Konto,10,existing credits paid back duly till now,business,4570.949417894193,unbekannt,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,40,none,own,1,skilled employee/official,1,yes,yes,1
kein Konto,15,critical account/other credits existing,radio/television,17092.487588389584,< 580 €,1 <= ... < 4 years,4,male : single,none,2,unknown/no property,28,none,for free,1,skilled employee/official,1,yes,yes,1
< 580 €,15,existing credits paid back duly till now,car (new),20242.04557655829,< 580 €,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,building society savings agreement/life insurance,29,none,own,1,skilled employee/official,1,yes,yes,0
kein Konto,9,existing credits paid back duly till now,car (new),18288.910590388736,580 € - 2900 €,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,none,rent,1,skilled employee/official,2,no,no,1
kein Konto,24,critical account/other credits existing,car (used),29675.380784628524,>= 5000 €,1 <= ... < 4 years,4,male : single,none,2,real estate,27,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,18,delay in paying off in the past,others,11089.920903145978,< 580 €,1 <= ... < 4 years,4,male : married/widowed,none,2,car or other,28,none,own,1,skilled employee/official,1,yes,yes,0
< 580 €,24,existing credits paid back duly till now,domestic appliances,12470.408982375768,< 580 €,... < 1 year,4,female : divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee/official,1,yes,yes,0
kein Konto,27,critical account/other credits existing,radio/television,23141.070542940848,>= 5000 €,... < 1 year,4,male : single,none,2,real estate,32,stores,own,2,unskilled - resident,2,yes,yes,1
kein Konto,10,existing credits paid back duly till now,radio/television,11299.550574436427,< 580 €,1 <= ... < 4 years,2,male : single,none,2,real estate,25,bank,rent,1,unskilled - resident,1,no,yes,0
kein Konto,15,existing credits paid back duly till now,radio/television,11355.792681368013,2800 € - 5000 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee/official,1,no,yes,1
< 580 €,18,existing credits paid back duly till now,domestic appliances,12214.76304177766,< 580 €,... < 1 year,4,female : divorced/separated/married,none,1,car or other,27,stores,own,1,skilled employee/official,1,no,yes,1
kein Konto,12,critical account/other credits existing,radio/television,17031.13256264604,< 580 €,... >= 7 years,2,male : single,none,4,building society savings agreement/life insurance,42,stores,own,1,skilled employee/official,1,no,yes,1
kein Konto,36,existing credits paid back duly till now,others,37881.61547782783,unbekannt,... >= 7 years,3,male : single,none,2,building society savings agreement/life insurance,37,none,own,2,skilled employee/official,1,no,yes,1
< 580 €,12,existing credits paid back duly till now,radio/television,3333.623065399345,< 580 €,... >= 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,skilled employee/official,1,no,yes,1
kein Konto,36,delay in paying off in the past,radio/television,39256.990638245654,2800 € - 5000 €,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,car or other,40,none,own,2,skilled employee/official,1,yes,yes,1
>= 2900 € / Gehalt seit 1 Jahr,6,critical account/other credits existing,car (new),6866.649964465214,< 580 €,... >= 7 years,1,male : single,none,4,real estate,46,none,own,2,skilled employee/official,2,no,no,1
< 580 €,24,critical account/other credits existing,others,7066.053798131739,580 € - 2900 €,4 <= ... < 7 years,4,male : single,none,1,real estate,26,none,own,2,skilled employee/official,1,yes,yes,1
kein Konto,15,existing credits paid back duly till now,repairs,4468.691041654949,unbekannt,... < 1 year,4,female : divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,12,existing credits paid back duly till now,radio/television,18355.378534944244,< 580 €,1 <= ... < 4 years,2,male : single,co-applicant,2,building society savings agreement/life insurance,29,none,own,1,unskilled - resident,2,no,yes,1
580 € - 2900 €,11,critical account/other credits existing,car (new),6759.278669414009,>= 5000 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,40,none,own,2,skilled employee/official,1,no,yes,1
< 580 €,18,all credits at this bank paid back duly,domestic appliances,9919.06249520664,< 580 €,... < 1 year,3,male : single,co-applicant,4,unknown/no property,36,bank,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
kein Konto,36,existing credits paid back duly till now,domestic appliances,18380.943129004052,< 580 €,... >= 7 years,4,male : single,none,2,car or other,28,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,9,existing credits paid back duly till now,car (new),7270.570550610227,< 580 €,... < 1 year,3,male : single,none,2,unknown/no property,27,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
kein Konto,30,critical account/other credits existing,domestic appliances,34471.29863024905,unbekannt,4 <= ... < 7 years,2,male : single,none,3,building society savings agreement/life insurance,36,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,24,existing credits paid back duly till now,car (used),39952.34759667251,< 580 €,4 <= ... < 7 years,3,male : single,none,3,car or other,38,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
kein Konto,24,existing credits paid back duly till now,car (used),47432.54781857319,unbekannt,1 <= ... < 4 years,2,male : divorced/separated,none,4,unknown/no property,48,none,for free,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,30,critical account/other credits existing,car (new),11151.275928889525,unbekannt,... >= 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,18,critical account/other credits existing,domestic appliances,5613.98485553448,< 580 €,unemployed,4,female : divorced/separated/married,none,4,car or other,65,none,own,2,unemployed/unskilled - non-resident,1,no,yes,1
580 € - 2900 €,24,existing credits paid back duly till now,radio/television,20743.111620130585,< 580 €,4 <= ... < 7 years,3,male : divorced/separated,none,3,car or other,43,none,own,1,skilled employee/official,1,yes,yes,0
< 580 €,12,existing credits paid back duly till now,retraining,4064.770455509937,< 580 €,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,53,none,own,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,24,critical account/other credits existing,others,14443.995643793172,unbekannt,4 <= ... < 7 years,4,male : single,none,3,unknown/no property,34,none,own,2,skilled employee/official,2,yes,yes,1
580 € - 2900 €,48,existing credits paid back duly till now,others,80129.66362107136,< 580 €,1 <= ... < 4 years,2,male : single,none,2,car or other,23,none,own,1,skilled employee/official,1,yes,yes,0
kein Konto,36,critical account/other credits existing,car (new),33816.845022317895,< 580 €,... >= 7 years,4,male : single,none,4,car or other,34,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
kein Konto,28,all credits at this bank paid back duly,car (used),40003.47678479213,unbekannt,... < 1 year,3,male : single,guarantor,4,real estate,40,bank,rent,2,skilled employee/official,2,yes,yes,1
< 580 €,27,critical account/other credits existing,others,12485.747738811657,< 580 €,... >= 7 years,4,male : single,none,4,car or other,43,stores,own,4,management/self-employed/highly qualified employee/officer,2,yes,yes,1
kein Konto,15,critical account/other credits existing,domestic appliances,9351.528507078836,< 580 €,... >= 7 years,4,male : single,none,4,car or other,46,none,own,2,skilled employee/official,1,yes,yes,1
